"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"6111",10.6500646990516,14.9595,42.9220833333333,496.694744540127,4752.16498820555,8,2018,195.5,0.0679407244576261,27.4494228363037,12.0565786361694,225.569290161133,0.646244656784198,0.0851828224633302,38.7590811851926,3.3203227519989
"6132",10.1718256852335,16.6261666666667,42.1545833333333,634.353354149284,4668.22131238786,8,2018,174,0.0743168849545011,27.7063884735107,13.7323560714722,217.218688964844,0.774018137743631,0.0914001997840441,38.7535095460079,6.12221240997314
"6144",6.02950644997192,15.666,42.2421666666667,554.9470053528,4676.88267543671,8,2018,108.5,0.0967974946477946,27.8858795166016,13.8419332504272,216.580627441406,0.444083258947685,0.07853187245612,38.6652865377325,9.79112529754639
"6166",7.3546705100942,15.1620833333333,42.2354166666667,513.375146233315,4675.92567293077,8,2018,103,0.127743608505036,27.7840137481689,14.2156286239624,217.821166992188,0.490699706883504,0.0719815092321554,38.528118156284,12.4287986755371
"6188",12.4737924687931,14.8461666666667,42.7974166666667,487.422905495761,4738.32827904194,8,2018,214,0.0584872427415597,27.4628829956055,11.9374647140503,226.178466796875,0.700398598856752,0.0886759059608975,38.7630372925781,2.7624728679657
"6263",10.0507698311028,15.8261666666667,43.6221666666667,566.658837286944,4830.2444023657,7,2018,80,0.149704969860635,23.2252922058105,15.5053939819336,227.58088684082,0.0101269743176548,0.0196278074872345,38.588375880378,18.738338470459
"6282",15.3142828302819,17.353,39.0158333333333,703.717076568027,4321.16414953179,8,2018,679,0.0575544354267322,27.8805408477783,13.7455129623413,202.196624755859,2.08974650058284,0.113909168690882,38.8212783149641,0.0242010299116373
"6283",7.06664132898691,17.3650833333333,39.02525,704.737659359906,4322.23463949071,8,2018,693,0.0575544354267322,27.8805408477783,13.7455129623413,202.196624755859,2.08974650058284,0.113909168690882,38.8212783149641,0.0242010299116373
"62891",10.4208536874389,17.4519166666667,40.2109166666667,708.658866110946,4454.04883199261,8,2018,338,0.0600797837039332,27.6488494873047,13.9875240325928,203.490097045898,1.95554511411926,0.114026278206792,38.8347451683005,0.00867878925055265
"6337",11.683591447301,17.493,40.16025,712.315001965078,4448.51805922023,8,2018,507.5,0.0632030116013447,27.6463623046875,14.1506671905518,208.921585083008,1.59063052666162,0.104163477632432,38.8268777867818,0.0857198238372803
"6419",9.5183853203083,17.4830833333333,41.0405,708.713757434048,4546.22349816286,7,2018,135,0.089719528527163,25.5810680389404,14.1334295272827,216.714935302734,0.743825876417491,0.0889465394366277,38.6722918679316,5.93834209442139
"6435",10.2240640305431,17.5965,40.9768333333333,718.456786305709,4539.42879444656,7,2018,110.5,0.104317423930521,25.5966987609863,14.2225179672241,216.571502685547,0.648008915691169,0.0811970570020296,38.6403705624724,6.42826890945435
"6471",7.57758910379159,18.1075833333333,40.7154166666667,762.494277395096,4511.81046349318,7,2018,113,0.132512938912041,25.6422634124756,14.5671358108521,216.36474609375,0.36783171959908,0.0509398977928527,38.46383177567,11.5422210693359
"6529",11.2871802697841,17.5396666666667,40.8805,713.988140867391,4528.59663879521,7,2018,63.5,0.170887705873008,25.7476634979248,15.2980909347534,233.019760131836,0.33515887340684,0.0240177449939734,38.0772449155967,21.8833408355713
"6531",9.90996172314011,17.4546666666667,40.9335,706.660447031087,4534.27638205329,7,2018,75,0.192147540350344,25.7171268463135,15.0614824295044,220.388977050781,0.320327862836316,0.0294080367525653,38.1529382952955,22.8695449829102
"6578",10.5631938453139,15.8750833333333,43.4331666666667,570.824974632893,4809.29461375617,6,2018,143.5,0.111716162187087,23.5603084564209,12.9231386184692,223.981216430664,0.288238356736105,0.055084853304403,38.5891614562397,6.73373317718506
"6590",9.38183647901731,15.0593333333333,42.9653333333333,504.836164331553,4756.96313753958,8,2018,212.5,0.0622299287159475,27.4493255615234,12.0981473922729,224.942687988281,0.676664692397361,0.0881441124177052,38.7592010897487,3.10125041007996
"6612",7.7894629381248,16.3321666666667,41.7853333333333,610.700865821722,4626.79641913867,7,2018,32,0.144189557398818,26.0226097106934,16.9191036224365,224.188049316406,0.726463317417105,0.0181025214108733,37.4058599225686,21.8604907989502
"6628",13.2389263763239,13.602,43.8446666666667,387.624180781992,4855.57402198948,8,2018,63.5,0.231032156033038,27.5795783996582,14.8982305526733,219.686660766602,0.39292304441113,0.059053603695716,38.5557136039047,20.6979904174805
"6657",9.95333901317832,16.72625,41.8215833333333,643.369139368278,4631.40942050866,7,2018,135,0.115716783259621,25.3253345489502,13.6362009048462,218.943786621094,0.475256507550353,0.0725410972978377,38.7349787056523,9.05433940887451
"6672",10.7184032882645,16.76175,41.9183333333333,646.088798733812,4642.2059221832,7,2018,171,0.0892688835118341,25.2843475341797,13.794921875,218.421203613281,0.653652460572421,0.079165439479023,38.7887500441683,6.52185201644897
"6690",8.18751534111245,14.6081666666667,42.6270833333333,467.872567331176,4719.48063051628,8,2018,137,0.0814681500879731,27.5551280975342,13.1755065917969,222.790328979492,0.599329184171411,0.0931570517664349,38.6937178439243,6.38324642181396
